isolateAccession,SangerSequenceSBT,includedInAnalysisForMS,elGatoSTCalls,cdcID,samplesSet,Year,Region,State,Source,Type,panGenomeRegion,whyExcludeRegion,panGenomeYear,whyExcludeYear,NCBI_BioProject,NCBI_SRR,dataUseConfirmed,spadesAssemblyLength,spadesN50,spadesNumberOfContigs>1kbp,preQC-AvgReadLength,preQC-NumberOfReads,preQC-Coverage,preQC-OverallSequenceQuality,postQC-AvgReadLength,postQC-NumberOfReads,postQC-Coverage,postQC-OverallSequenceQuality,numOfSpacers(IA-IC-IF-IIB),CAS-TypeIA,CAS-TypeIC,CAS-TypeIF,CAS-TypeIIB,Legionella pneumophila str. Lens plasmid pLPL,Legionella pneumophila C9_S plasmid unamed2,Legionella pneumophila FFI102 ,Legionella pneumophila plasmid pLELO,Legionella sainthelensi LA01-117 plasmid pLA01-117_150k
C175,Y,included,222,D5916,cdc,2009,C,IN,Clinical,Sporadic,Include,None,2006-2010,None,PRJNA861313,SRR20447660,N/A,3459404,179816,45,249.7049071,895379,65.58262003,Good,214.6356687,780751,49.15517272,Good,44,0,1,0,0,0,0,0,0,0
C176,Y,included,213,D5492,cdc,2005,NE,RI,Clinical,Sporadic,Include,None,2001-2005,None,PRJNA861313,SRR20447649,N/A,3642614,161682,47,242.1126682,1691125,120.1013821,Good,219.1516693,1570338,100.9468344,Good,43,0,1,0,0,0,0,0,1,0
C177,Y,included,213,D5573,cdc,2006,C,IL,Clinical,Sporadic,Include,None,2006-2010,None,PRJNA861313,SRR20447638,N/A,3510630,162610,48,244.2126453,709656,50.83593413,Good,220.7755116,643472,41.67113553,Good,45,0,1,0,0,1,0,0,0,0
C178,Y,included,213,D5589,cdc,2006,NE,CT,Clinical,Sporadic,Include,None,2006-2010,None,PRJNA861313,SRR20447595,N/A,3561337,149323,50,232.7852269,1458823,99.6122612,Good,210.9412522,1306603,80.84626342,Good,43,0,1,0,0,0,0,0,0,0
C179,Y,included,213,D5680,cdc,2007,NE,ME,Clinical,Sporadic,Include,None,2006-2010,None,PRJNA861313,SRR20447584,N/A,3495547,161683,46,246.6077904,1288311,93.19278452,Good,223.7033483,1177091,77.23911787,Good,43,0,1,0,0,0,0,0,0,0
C180,Y,excluded,222,D5502,cdc,2005,Can,Canada,Clinical,Sporadic,Exclude,from Canada,Exclude,from Canada,PRJNA861313,SRR20447573,N/A,3506359,161554,44,241.4454583,1531342,108.4541103,Good,218.5272004,1418178,90.90568157,Good,43,Exclude,Exclude,Exclude,Exclude,Exclude,Exclude,Exclude,Exclude,Exclude
C181,Y,included,222,D5579,cdc,2006,C,IL,Clinical,Sporadic,Include,None,2006-2010,None,PRJNA861313,SRR20447530,N/A,3456578,142134,47,240.165836,1160068,81.72397022,Good,216.9201366,1059722,67.42898171,Good,44,0,1,0,0,0,0,0,0,0
C182,Y,included,222,D5594,cdc,2006,C,IL,Clinical,Sporadic,Include,None,2006-2010,None,PRJNA861313,SRR20447519,N/A,3506429,161554,48,231.2302368,2232488,151.4218468,Good,209.2455216,2074701,127.3404762,Good,42,0,1,0,0,0,0,0,0,0
C183,Y,included,222,D5876,cdc,2009,NE,NY,Clinical,Sporadic,Include,None,2006-2010,None,PRJNA861313,SRR20447508,N/A,3434697,149345,47,244.1459473,1704204,122.0466551,Good,221.1836646,1569241,101.8116503,Good,43,0,1,0,0,0,0,0,0,0
C184,Y,included,289,D5565,cdc,2006,C,IN,Clinical,Sporadic,Exclude,non-ST222 or ST213 isolate,Exclude,non-ST222 or ST213 isolate,PRJNA861313,SRR20447561,N/A,3595905,162993,50,244.9690273,1179457,84.7516323,Good,221.2763996,1060396,68.8268603,Good,49-73-28,0,1,1,1,1,0,0,0,0
C185,Y,included,289,D5585,cdc,2006,NE,NY,Clinical,Sporadic,Exclude,non-ST222 or ST213 isolate,Exclude,non-ST222 or ST213 isolate,PRJNA861313,SRR20447549,N/A,3676527,149346,55,244.6075461,1266350,90.861183,Good,221.6947504,1187497,77.22229634,Good,45-25,0,1,0,1,0,0,0,0,1
C186,Y,included,222,D5889,cdc,2009,C,OH,Clinical,Sporadic,Include,None,2006-2010,None,PRJNA861313,SRR20447538,N/A,3540524,173178,44,249.5735734,1094791,80.14650661,Good,216.9737908,970536,61.76944616,Good,43,0,1,0,0,0,0,0,0,0
C187,Y,included,213,D6004,cdc,2010,NE,RI,Clinical,Sporadic,Include,None,2006-2010,None,PRJNA861313,SRR20447457,N/A,3696600,173274,46,243.8640895,1178562,84.30533685,Good,214.0718725,1086312,68.21328527,Good,43,0,1,0,0,0,0,0,0,1
C188,Y,included,213,D7125,cdc,2012,NC,WI,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447446,N/A,3532505,170755,48,243.1006033,946351,67.48279524,Good,211.9363831,863969,53.71040904,Good,43,0,1,0,0,0,0,0,0,0
C189,Y,included,213,D7131,cdc,2012,NC,WI,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447445,N/A,3599821,162928,51,249.4317484,875679,64.06951659,Good,214.2432574,780601,49.05587739,Good,43-49,0,1,1,0,1,0,0,0,0
C190,Y,included,213,D7172,cdc,2013,NE,PA,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447444,N/A,3564508,151947,50,245.3043986,944817,67.98417256,Good,213.6114288,859356,53.84586772,Good,43,0,1,0,0,1,0,0,0,0
C191,Y,included,222,D7008,cdc,2011,C,IL,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447443,N/A,3371168,149323,47,249.5357128,1097786,80.35357038,Good,217.4911593,1005743,64.16281482,Good,43,0,1,0,0,0,0,0,0,0
C192,Y,included,222,D7082,cdc,2012,NE,RI,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447442,N/A,3506836,149323,47,245.750412,1214694,87.56205035,Good,214.5501389,1107155,69.6774113,Good,43,0,1,0,0,0,0,0,0,0
C193,Y,included,222,D7102,cdc,2012,C,IL,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447441,N/A,3572207,162800,51,247.7725725,1165004,84.67114404,Good,216.059921,1056574,66.96207669,Good,44,0,1,0,0,0,0,0,0,0
C194,Y,included,222,D7144,cdc,2012,NC,WI,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447440,N/A,3494125,165204,48,248.7196202,1214870,88.63283382,Good,217.0486939,1117820,71.16784805,Good,43,0,1,0,0,0,0,0,0,0
C195,Y,included,222,D7792,cdc,2016,NC,MI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447438,N/A,3536757,164479,48,246.426256,1856870,134.2218622,Good,223.0840449,1727732,113.0575758,Good,43,0,1,0,0,0,0,0,0,0
C196,Y,included,222,D7825,cdc,2016,NC,MI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447437,N/A,3501037,173239,44,248.3572186,2464569,179.5446838,Good,225.0247995,2310655,152.5177084,Good,43,0,1,0,0,0,0,0,0,0
C197,Y,included,222,D7038,cdc,2011,SW,CO,Clinical,Sporadic,Exclude,region bin less than 14,Exclude,excluded from Region,PRJNA861313,SRR20447436,N/A,3407833,149345,46,248.3010569,1271836,92.63272999,Good,225.2026145,1176061,77.68873644,Good,44,0,1,0,0,0,0,0,0,0
C198,Y,included,276,D5487,cdc,2005,NE,CT,Clinical,Sporadic,Exclude,non-ST222 or ST213 isolate,Exclude,non-ST222 or ST213 isolate,PRJNA861313,SRR20447435,N/A,3455040,161682,50,238.658326,1085204,75.97011038,Good,216.4366364,1000503,63.51904394,Good,25,0,1,0,0,0,0,0,0,0
C199,Y,included,213,D7152,cdc,2012,NE,PA,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447434,N/A,3565277,149346,51,251,927588,68.29416895,Good,227.6352908,842463,56.25293806,Good,43,0,1,0,0,1,0,0,0,0
C200,Y,included,213,D7157,cdc,2013,NE,PA,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447433,N/A,3564818,149346,51,251,739491,54.44542543,Good,227.3380961,654453,43.64208219,Good,43,0,1,0,0,1,0,0,0,0
C201,Y,included,222,D7164,cdc,2013,NE,PA,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447502,N/A,3496403,173082,48,251,642568,47.30941706,Good,227.6551153,580420,38.75917848,Good,43,0,1,0,0,0,0,0,0,0
C202,Y,included,213,D7254,cdc,2013,NC,WI,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447501,N/A,3499204,149323,50,249.6319196,828626,60.67551258,Good,221.9701656,731403,47.62183487,Good,44,0,1,0,0,1,0,0,0,0
C203,Y,included,213,D7262,cdc,2013,NC,WI,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447500,N/A,3628487,135409,51,248.9064704,856467,62.53189673,Good,222.4980339,781748,51.02085568,Good,43,0,1,0,0,0,0,0,0,0
C204,Y,included,213,D7269,cdc,2013,NE,MA,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447499,N/A,3765267,149323,54,249.0427134,854228,62.40256246,Good,221.4870714,765707,49.74687216,Good,42,0,1,0,0,0,0,1,0,1
C205,Y,included,213,D7304,cdc,2013,C,IL,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447497,N/A,3597177,162993,49,248.9364994,1236871,90.31663882,Good,221.636447,1103014,71.70954812,Good,45-40,0,1,1,0,1,0,0,0,0
C206,Y,included,213,D7309,cdc,2013,NC,WI,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447496,N/A,3549964,161681,51,248.9842479,817543,59.70865083,Good,222.6531437,750893,49.0412655,Good,44,0,1,0,0,1,0,0,0,0
C207,Y,included,222,D7252,cdc,2013,NC,WI,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447495,N/A,3547341,165102,47,249.9217062,897977,65.83001769,Good,223.2726578,832065,54.49386077,Good,44,0,1,0,0,0,0,0,0,0
C208,Y,included,222,D7270,cdc,2013,NE,MA,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447494,N/A,3457692,161554,48,247.9969424,765964,55.7197894,Good,221.57088,706292,45.90412898,Good,43,0,1,0,0,0,0,0,0,0
C209,Y,included,222,D7271,cdc,2013,NE,MA,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447493,N/A,3508632,149323,48,249.6345913,298277,21.84134165,Good,222.0225997,268013,17.45451657,Good,44,0,1,0,0,0,0,0,0,0
C210,Y,included,222,D7303,cdc,2013,C,IL,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447492,N/A,3427608,149323,46,246.6829667,739591,53.51623619,Good,219.2293378,653791,42.04287353,Good,45,0,1,0,0,0,0,0,0,0
C211,Y,included,222,D7395,cdc,2014,C,IL,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447491,N/A,3464065,149345,46,249.623742,1158814,84.85049967,Good,223.5711107,1063223,69.72601237,Good,45,0,1,0,0,0,0,0,0,0
C212,Y,included,222,D7780,cdc,2016,C,IN,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447490,N/A,3501799,161554,52,249.1845227,799766,58.45730408,Good,222.590217,732146,47.80337375,Good,44,0,1,0,0,0,0,0,0,0
C213,Y,included,222,D7839,cdc,2016,NE,PA,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447489,N/A,3551344,161554,47,249.80758,833744,61.09323399,Good,223.5071855,770229,50.4970651,Good,43,0,1,0,0,0,0,0,0,0
C214,Y,included,289,D7511,cdc,2015,NE,NY,Clinical,Sporadic,Exclude,non-ST222 or ST213 isolate,Exclude,non-ST222 or ST213 isolate,PRJNA861313,SRR20447488,N/A,3528325,149324,49,250.4745896,955259,70.18423868,Good,223.0654884,861572,56.37398578,Good,43-28,0,1,0,1,0,0,0,0,0
C215,Y,included,213,D3590,cdc,1992,C,OH,Clinical,Sporadic,Exclude,excluded from Year,Exclude,bin less than 14,PRJNA861313,SRR20447486,N/A,3569055,149345,49,249.0455956,755445,55.18696341,Good,226.1045478,698025,46.2951032,Good,43,0,1,0,0,1,0,0,0,0
C216,Y,included,213,D4283,cdc,1996,C,IL,Clinical,Sporadic,Exclude,excluded from Year,Exclude,bin less than 14,PRJNA861313,SRR20447485,N/A,3484502,149345,51,247.8649664,599014,43.55187946,Good,224.870868,550220,36.29312381,Good,41,0,1,0,0,1,0,0,0,0
C217,Y,included,213,D5241,cdc,2001,C,OH,Clinical,Sporadic,Include,None,2001-2005,None,PRJNA861313,SRR20447484,N/A,3524407,149323,48,248.1030083,682023,49.63474926,Good,224.723265,607032,40.0142244,Good,47-30,0,1,0,1,1,0,0,0,0
C218,Y,included,213,D5371,cdc,2003,NE,RI,Clinical,Sporadic,Include,None,2001-2005,None,PRJNA861313,SRR20447483,N/A,3580694,149323,50,243.0927472,539650,38.48034565,Good,219.5307908,509779,32.82707326,Good,39,0,1,0,0,0,0,0,0,1
C219,Y,included,213,D5380,cdc,2003,C,OH,Clinical,Sporadic,Include,None,2001-2005,None,PRJNA861313,SRR20447482,N/A,3504238,158631,49,247.3654183,1027595,74.56169102,Good,223.6112128,978880,64.20632517,Good,43,0,1,0,0,1,0,0,0,0
C220,Y,included,213,D5423,cdc,2004,NE,RI,Clinical,Sporadic,Include,None,2001-2005,None,PRJNA861313,SRR20447481,N/A,3638380,149323,48,248.9049695,587485,42.89287249,Good,224.4048779,549331,36.15939724,Good,42,0,1,0,0,0,0,0,0,1
C221,Y,included,222,D5219,cdc,2001,NE,CT,Clinical,Sporadic,Include,None,2001-2005,None,PRJNA861313,SRR20447480,N/A,3569400,136243,48,245.8517427,1204258,86.84555855,Good,223.3133146,1109827,72.698372,Good,44,0,1,0,0,0,0,0,0,0
C222,Y,included,222,D5223,cdc,2001,C,OH,Clinical,Sporadic,Include,None,2001-2005,None,PRJNA861313,SRR20447479,N/A,3454560,149323,47,250.419655,1138161,83.6039688,Good,226.5084912,960872,63.84175348,Good,43-24,0,1,0,1,0,0,0,0,0
C223,Y,included,222,D5277,cdc,2002,NE,VT,Clinical,Sporadic,Include,None,2001-2005,None,PRJNA861313,SRR20447478,N/A,3425476,149323,46,249.6249755,1227165,89.85573002,Good,226.3844901,1079739,71.7001789,Good,43,0,1,0,0,0,0,0,0,0
C224,Y,included,222,D5295,cdc,2002,C,OH,Clinical,Sporadic,Include,None,2001-2005,None,PRJNA861313,SRR20447477,N/A,3488476,161554,51,248.4025608,1015541,73.99601161,Good,225.3682175,935037,61.81249129,Good,43,0,1,0,0,0,0,0,0,0
C225,Y,included,222,D5372,cdc,2003,C,IL,Clinical,Sporadic,Include,None,2001-2005,None,PRJNA861313,SRR20447475,N/A,3473074,149323,48,247.1875686,275931,20.00699677,Good,222.9706897,259363,16.96330925,Good,44,0,1,0,0,0,0,0,0,0
C226,Y,included,222,D5385,cdc,2004,C,IL,Clinical,Sporadic,Include,None,2001-2005,None,PRJNA861313,SRR20447474,N/A,3428088,173178,47,248.0849914,837649,60.95612446,Good,223.6087072,781489,51.2585553,Good,43,0,1,0,0,0,0,0,0,0
C227,Y,included,213,D4532,cdc,1997,C,OH,Clinical,Sporadic,Exclude,excluded from Year,Exclude,bin less than 14,PRJNA861313,SRR20447473,N/A,3509553,151566,51,211.1261262,2178089,134.8877102,Good,193.1077883,1793173,101.5726451,Good,46-34,0,1,0,1,1,0,0,0,0
C228,Y,included,222,D4707,cdc,1998,NE,PA,Clinical,Sporadic,Exclude,excluded from Year,Exclude,year bin less than 14,PRJNA861313,SRR20447472,N/A,3501953,135311,49,224.8981489,1261980,83.25170461,Good,202.772396,1019626,60.64632871,Good,43,0,1,0,0,0,0,0,0,0
C229,Y,included,222,D5013,cdc,2000,C,OH,Clinical,Sporadic,Exclude,excluded from Year,Exclude,bin less than 14,PRJNA861313,SRR20447471,N/A,3485996,135407,52,230.573234,1120279,75.76870551,Good,207.7765728,808581,49.28047577,Good,43,0,1,0,0,0,0,0,0,0
C230,Y,included,222,D8439,cdc,2018,C,MO,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447630,N/A,3461255,179903,45,246.5643371,846455,61.21937859,Good,219.1463492,803496,51.65028718,Good,43,0,1,0,0,0,0,0,0,0
C231,Y,included,222,D8447,cdc,2018,C,IN,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447629,N/A,3429799,135400,56,183.659791,517911,27.90127196,Good,186.4728394,408367,22.33680253,Good,43-9,0,1,1,0,1,0,0,0,0
C232,N,included,213,D8452,cdc,2018,C,OH,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447628,N/A,3524880,142962,53,241.8716315,624725,44.32294421,Good,222.1763959,547972,35.71174456,Good,42,0,1,0,0,1,0,0,0,0
C233,Y,included,222,D8499,cdc,2018,C,OH,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447627,N/A,3493530,149345,58,230.5073703,1772934,119.8759788,Good,206.7367957,1082619,65.65203718,Good,43,0,1,0,0,0,0,0,0,0
C234,N,included,213,D8537,cdc,2018,NC,WI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447626,N/A,3626923,135409,61,244.7194784,874824,62.7977392,Good,220.7625225,405651,26.2683431,Good,45,0,1,0,0,1,0,0,0,0
C235,Y,included,222,D8630,cdc,2019,NE,RI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447624,N/A,3548567,58607,106,202.9121332,1114562,66.33871122,Good,191.833277,894124,50.31256741,Good,13-6,1,1,0,0,0,0,0,0,0
C236,Y,included,213,D8720,cdc,2019,C,IN,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447623,N/A,3480518,161683,49,222.3760925,1158901,75.59432855,Good,203.2534548,1031746,61.51280219,Good,49,0,1,0,0,0,0,0,0,0
C237,Y,included,222,D8927,cdc,2019,NE,NJ,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447622,N/A,3555047,161553,49,232.3156899,1377339,93.85862077,Good,211.9968509,1223850,76.10485861,Good,44,0,1,0,0,0,0,0,0,0
C238,Y,included,222,D8931,cdc,2019,C,OH,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447621,N/A,3495127,161490,50,232.0489342,663748,45.17910102,Good,211.5636355,597473,37.07781105,Good,47-14,0,1,0,1,0,0,0,0,0
C239,N,included,213,D9029,cdc,2019,C,OH,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447620,N/A,3635727,135407,54,239.0667558,693588,48.63798116,Good,217.3236134,596060,37.99720722,Good,43,0,1,0,0,1,1,0,0,0
C240,Y,included,222,D9077,cdc,2019,C,IL,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447619,N/A,3557902,168733,52,218.7230186,328986,21.10700871,Good,198.5403302,257983,15.02431256,Good,43,0,1,0,0,0,0,0,0,0
C241,Y,included,213,D9072,cdc,2019,C,OH,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447618,N/A,3553451,161639,55,226.3516638,337689,22.42102106,Good,203.9223942,247198,14.78647508,Good,45,0,1,0,0,1,0,0,0,0
C242,Y,included,222,D9157,cdc,2019,C,OH,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447617,N/A,3443944,135407,45,238.5006289,892861,62.46376582,Good,217.6201747,808993,51.64148233,Good,44,0,1,0,0,0,0,0,0,0
C243,Y,included,213,c291,cdc,2019,C,OH,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447616,N/A,3501223,54138,124,235.4889224,1073651,74.16318911,Good,215.8742024,875176,55.41801004,Good,8,0,1,0,0,0,0,0,0,0
C244,Y,included,213,D9189,cdc,2019,C,OH,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447615,N/A,3508218,50977,116,234.1900286,1150706,79.04739432,Good,215.8697669,940529,59.55507763,Good,13,0,1,0,0,1,0,0,0,0
C245,N,included,213,D9204,cdc,2019,C,OH,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447613,N/A,3600638,149323,53,190.0885982,2204809,122.9367768,Good,186.6451745,1669956,91.4274435,Good,43,0,1,0,0,1,0,0,0,0
C246,Y,included,213,D9220,cdc,2020,C,OH,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447612,N/A,3506462,161618,48,211.8036546,1380017,85.7378655,Good,196.2995928,1167835,67.24432944,Good,43-28,0,1,0,1,1,0,0,0,0
C247,Y,included,213,LP000081,state,2013,NE,NY,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447611,Y,3581428,112538,70,241.7818633,467936,33.18676805,Good,220.479452,401037,25.93625964,Good,43,0,1,0,0,0,0,0,0,1
C248,Y,included,213,07LE000003,state,2007,NC,MI,Clinical,Sporadic,Include,None,2006-2010,None,PRJNA861313,SRR20447610,N/A,3534706,159507,51,240.8226173,568167,40.13544284,Good,221.8218947,499665,32.51158341,Good,45,0,1,0,0,0,0,0,0,0
C249,Y,included,213,C2005004221,state,2005,NC,MN,Clinical,Sporadic,Include,None,2001-2005,None,PRJNA861313,SRR20447609,Y,3559907,161618,48,236.0501655,810497,56.11907479,Good,214.2738235,586732,36.87768715,Good,43,0,1,0,0,0,0,0,0,0
C250,Y,included,213,C2005004407,state,2005,NC,MN,Clinical,Sporadic,Include,None,2001-2005,None,PRJNA861313,SRR20447608,Y,3527450,166201,48,237.0292022,764873,53.17971027,Good,212.3555389,677757,42.2174878,Good,43,0,1,0,0,0,0,0,0,0
C251,Y,included,213,C2008002106,state,2008,NC,MN,Clinical,Sporadic,Include,None,2006-2010,None,PRJNA861313,SRR20447607,Y,3492166,135400,55,219.4359498,809061,52.07674451,Good,202.8988699,698150,41.55115992,Good,43,0,1,0,0,0,0,0,0,0
C252,Y,included,213,C2008002468,state,2008,NC,MN,Clinical,Sporadic,Include,None,2006-2010,None,PRJNA861313,SRR20447606,Y,3626891,135409,55,234.6270321,779606,53.65472848,Good,214.2991458,559336,35.15992934,Good,42,0,1,0,0,1,0,0,0,0
C253,Y,included,213,C2015009935,state,2015,NC,MN,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447605,Y,3512704,135311,57,217.7731549,1066609,68.13407563,Good,201.8061084,896109,53.04566866,Good,43,0,1,0,0,0,0,0,0,0
C254,Y,included,213,C2017015029,state,2017,NC,MN,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447604,Y,3576540,135409,51,229.4586448,1350132,90.87311943,Good,212.8252987,1198577,74.82452569,Good,42-56,0,1,1,0,1,0,0,0,0
C255,Y,included,213,C2017015087,state,2017,NC,MN,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447602,Y,3515726,149323,56,233.1350126,425553,29.10153784,Good,215.7331056,375081,23.73540476,Good,48,0,1,0,0,0,0,0,0,0
C256,Y,included,213,C2018009193,state,2018,NC,MN,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447601,Y,3541182,173274,47,242.4954009,746119,53.07211402,Good,221.6535148,701167,45.58803488,Good,44,0,1,0,0,0,0,0,0,0
C257,Y,included,213,C2019017911,state,2019,C,IN,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447600,Y,3548607,148128,59,230.5413683,679953,45.98143727,Good,207.8647051,590133,35.98201131,Good,43,0,1,0,0,1,0,0,0,0
C258,Y,included,213,CL12-200299,state,2012,NC,MI,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447599,N/A,3562579,141666,61,242.2906359,665372,47.2885429,Good,223.0044399,522765,34.19595951,Good,43,0,1,0,0,1,0,0,0,0
C259,Y,included,213,CL13-200494,state,2013,NC,MI,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447470,N/A,3508520,139178,53,241.6354021,660758,46.83362505,Good,221.8973118,608064,39.5782069,Good,45,0,1,0,0,1,0,0,0,0
