	C165-O_OH-2013-OC-ST222	C170-S_MI-2016-CS-ST222	C171-O_MI-2010-OC-ST222	C173-S_NY-2009-CS-ST222	C174-O_MD-2009-OC-ST222	C175-S_IN-2009-CS-ST222	C181-S_IL-2006-CS-ST222	C182-S_IL-2006-CS-ST222	C183-S_NY-2009-CS-ST222	C186-S_OH-2009-CS-ST222	C191-S_IL-2011-CS-ST222	C192-S_RI-2012-CS-ST222	C193-S_IL-2012-CS-ST222	C194-S_WI-2012-CS-ST222	C195-S_MI-2016-CS-ST222	C196-S_MI-2016-CS-ST222	C197-S_CO-2011-CS-ST222	C201-S_PA-2013-CS-ST222	C207-S_WI-2013-CS-ST222	C208-S_MA-2013-CS-ST222	C209-S_MA-2013-CS-ST222	C210-S_IL-2013-CS-ST222	C211-S_IL-2014-CS-ST222	C212-S_IN-2016-CS-ST222	C213-S_PA-2016-CS-ST222	C221-S_CT-2001-CS-ST222	C222-S_OH-2001-CS-ST222	C223-S_VT-2002-CS-ST222	C224-S_OH-2002-CS-ST222	C225-S_IL-2003-CS-ST222	C226-S_IL-2004-CS-ST222	C228-S_PA-1998-CS-ST222	C229-S_OH-2000-CS-ST222	C230-S_MO-2018-CS-ST222	C231-S_IN-2018-CS-ST222	C233-S_OH-2018-CS-ST222	C235-S_RI-2019-CS-ST222	C237-O_NJ-2019-OC-ST222	C238-O_OH-2019-OC-ST222	C240-S_IL-2019-CS-ST222	C242-S_OH-2019-CS-ST222	C290-S_CO-2018-CS-ST222	C291-O_OH-2013-OC-ST222	C292-S_IN-2018-CS-ST222	C293-S_MN-2013-CS-ST222	C294-S_MN-2019-CS-ST222	C295-S_MN-2019-CS-ST222	C296-S_MI-2010-CS-ST222	C297-S_MI-2013-CP-ST222	C298-S_MI-2013-CP-ST222	C299-S_MI-2013-CP-ST222	C300-S_MI-2013-CS-ST222	C301-S_MI-2013-CS-ST222	C302-S_MI-2013-CS-ST222	C303-S_MI-2013-CS-ST222	C304-S_MI-2014-CS-ST222	C305-S_MI-2015-CS-ST222	C306-S_MI-2015-CS-ST222	C307-S_MI-2016-CS-ST222	C308-S_MI-2016-CS-ST222	C309-S_MI-2016-CS-ST222	C310-S_MI-2017-CS-ST222	C311-S_MI-2018-CS-ST222	C312-S_MI-2018-CS-ST222	C313-S_MI-2018-CS-ST222	C314-S_MI-2018-CS-ST222	C315-S_MI-2018-CS-ST222	C316-S_MI-2019-CS-ST222	C317-S_MI-2019-CS-ST222	C318-S_MI-2019-CS-ST222	C319-S_MI-2019-CS-ST222	C320-S_MI-2019-CS-ST222	C321-S_MI-2020-CS-ST222	C322-S_CO-2011-CS-ST222	C323-S_CO-2017-CS-ST222	C324-S_CO-2018-CS-ST222	C325-S_NY-2016-CS-ST222	C326-S_NY-2016-CS-ST222	C327-S_NY-2016-CS-ST222	C328-S_NY-2017-CS-ST222	C329-S_NY-2017-CS-ST222	C330-S_NY-2017-CS-ST222	C331-S_NY-2017-CS-ST222	C332-S_NY-2017-CS-ST222	C333-S_NY-2017-CS-ST222	C334-S_NY-2017-CS-ST222	C335-S_NY-2017-CS-ST222	C336-S_NY-2017-CS-ST222	C337-S_NY-2017-CS-ST222	C338-S_NY-2016-CS-ST222	C339-S_NY-2018-CS-ST222	C340-S_NY-2017-CS-ST222	C341-S_NY-2015-CS-ST222	C342-S_NY-2015-CS-ST222	C343-S_NY-2012-CS-ST222	C344-S_NY-2016-CS-ST222	C345-S_MN-2018-CS-ST222	E155-O_OH-2013-OE-ST222	E156-O_OH-2013-OE-ST222	E157-O_OH-2013-OE-ST222	E159-O_OH-2013-OE-ST222	E160-O_OH-2013-OE-ST222	E161-O_MI-2010-OE-ST222	E162-O_MI-2010-OE-ST222	E163-O_MI-2010-OE-ST222	E164-O_MI-2010-OE-ST222	E165-O_VT-2002-OE-ST222	E166-O_VT-2002-OE-ST222	E167-O_MD-2009-OE-ST222	E168-O_MD-2009-OE-ST222	E169-O_MD-2009-OE-ST222	E170-O_MD-2009-OE-ST222	E171-O_MD-2009-OE-ST222	E172-O_PA-2009-OE-ST222	E174-O_OH-2013-OE-ST222	U1-U_MA-UNK-UNK-STUNK	U4-U_MA-UNK-UNK-STUNK	U5-U_MA-UNK-UNK-STUNK	U6-U_MA-UNK-UNK-STUNK	U9-U_MI-2016-UNK-ST222
C191-S_IL-2011-CS-ST222	99.9764	99.9706	99.9678	99.961	99.9562	99.9154	99.9614	99.9715	99.979	99.9547	100	99.9818	99.9687	99.9826	99.9758	99.7974	99.9646	99.9805	99.944	99.9571	99.9658	99.9323	99.9775	99.9206	99.9128	99.9641	99.9772	99.9809	99.9815	99.9657	99.9821	99.9816	99.9829	99.9304	99.9194	99.9833	99.9914	99.9632	99.9593	99.9094	99.9575	99.9755	99.9855	99.9216	99.929	99.9275	99.9655	99.9592	99.9653	99.9658	99.9819	99.9786	99.9455	99.9681	99.9249	99.9706	99.9746	99.9771	99.9817	99.9718	99.9815	99.8485	99.9398	99.982	99.9401	99.9919	99.9804	99.9798	99.9801	99.9672	99.9806	99.9793	99.9781	99.9689	99.978	99.9763	99.9775	99.9783	99.9812	99.9441	99.9808	99.9799	99.986	99.982	99.9638	99.9763	99.9613	99.9706	99.982	99.9798	99.9772	99.9785	99.9809	99.9706	99.9755	99.9818	99.9856	99.9762	99.9776	99.9744	99.9759	99.9732	99.9804	99.9809	99.9823	99.9799	99.9804	99.9789	99.9822	99.9824	99.9819	99.9781	99.9824	99.9785	99.9842	99.9767	99.9686	99.9765	99.9767	99.9301
C192-S_RI-2012-CS-ST222	99.9399	99.9438	99.9486	99.9817	99.9711	99.8654	99.9442	99.8953	99.9354	99.9097	99.9818	100	99.952	99.9353	99.9083	99.8026	99.9941	99.9344	99.9037	99.9329	99.9942	99.9182	99.9021	99.8629	99.8993	99.9606	99.9935	99.9937	99.9499	99.8428	99.9941	99.9985	99.9248	99.8904	99.8742	99.9375	99.9945	99.9382	99.9111	99.8637	99.9169	99.91	99.9379	99.8807	99.8869	99.9285	99.8936	99.9447	99.8492	99.8468	99.9483	99.8677	99.9142	99.9432	99.9521	99.9011	99.8938	99.9159	99.9484	99.962	99.8848	99.8516	99.9192	99.9468	99.9406	99.8852	99.9482	99.9779	99.9746	99.9092	99.9341	99.9107	99.9078	99.9893	99.9602	99.9216	99.9384	99.944	99.9642	99.8881	99.9462	99.9209	99.9509	99.9474	99.91	99.9181	99.9096	99.9763	99.9452	99.9436	99.9413	99.9479	99.9949	99.9815	99.9384	99.9684	99.8986	99.9129	99.9129	99.9097	99.9119	99.9107	99.9485	99.9459	99.9475	99.9466	99.9942	99.9944	99.9684	99.9696	99.968	99.9675	99.9676	99.9671	99.9291	99.9581	99.9914	99.9794	99.9911	99.9386
C193-S_IL-2012-CS-ST222	99.9326	99.9188	99.9488	99.9291	99.9674	99.9328	99.9804	99.9288	99.9632	99.884	99.9687	99.952	100	99.944	99.9045	99.7913	99.9515	99.9452	99.8563	99.9533	99.9489	99.8754	99.9	99.9091	99.8239	99.929	99.876	99.9495	99.9576	99.9005	99.9126	99.9521	99.9174	99.9328	99.9012	99.9461	99.8783	99.9678	99.9357	99.9109	99.9637	99.9392	99.9492	99.904	99.9331	99.893	99.9726	99.9329	99.9427	99.9385	99.9412	99.9121	99.9135	99.9432	99.9512	99.96	99.9474	99.9361	99.9472	99.9211	99.9701	99.77	99.917	99.9691	99.9157	99.9302	99.9461	99.9368	99.9365	99.9407	99.9488	99.9398	99.8921	99.889	99.8848	99.9549	99.8287	99.9057	99.9129	99.8986	99.9682	99.9682	99.9731	99.9365	99.9072	99.9449	99.8675	99.926	99.9305	99.9335	99.9657	99.9383	99.9117	99.9535	99.8862	99.8846	99.949	99.9313	99.9314	99.9287	99.9299	99.9273	99.9479	99.9465	99.9483	99.9461	99.9125	99.9117	99.9673	99.9684	99.9665	99.9639	99.9658	99.964	99.9489	99.8839	99.9115	99.8896	99.8853	99.8893
C194-S_WI-2012-CS-ST222	99.9958	99.8927	99.896	99.9317	99.9698	99.9221	99.9484	99.8677	99.9601	99.8826	99.9826	99.9353	99.944	100	99.8953	99.7837	99.9066	99.996	99.8759	99.9471	99.9105	99.8812	99.9691	99.8773	99.8142	99.8989	99.8456	99.9337	99.9113	99.8559	99.9353	99.9356	99.8558	99.9449	99.9369	99.9963	99.9247	99.9625	99.8733	99.8989	99.9124	99.8989	99.9882	99.9407	99.9445	99.8173	99.9104	99.9399	99.912	99.9115	99.8929	99.8678	99.8594	99.8874	99.9241	99.9517	99.9461	99.8923	99.8922	99.8582	99.938	99.7955	99.899	99.9669	99.8915	99.8872	99.8925	99.974	99.9754	99.9433	99.8954	99.9724	99.9274	99.9209	99.8301	99.94	99.802	99.8947	99.8564	99.8343	99.9656	99.9386	99.9688	99.877	99.8981	99.8762	99.8346	99.9041	99.8668	99.8924	99.9615	99.8763	99.9349	99.9294	99.8775	99.9097	99.9172	99.9699	99.972	99.9689	99.9716	99.971	99.8951	99.8941	99.8953	99.8938	99.9345	99.9342	99.968	99.9685	99.9697	99.9666	99.9699	99.9689	99.9891	99.9036	99.9111	99.826	99.921	99.8563
C195-S_MI-2016-CS-ST222	99.8853	99.925	99.9085	99.9485	99.9807	99.9262	99.9087	99.8544	99.9726	99.9207	99.9758	99.9083	99.9045	99.8953	100	99.7725	99.9108	99.8933	99.898	99.9362	99.9298	99.8849	99.9639	99.8566	99.8459	99.902	99.9104	99.932	99.9479	99.8784	99.9351	99.9358	99.8897	99.9331	99.9239	99.9007	99.9261	99.9524	99.984	99.8792	99.9387	99.8566	99.909	99.9279	99.9313	99.8547	99.8831	99.962	99.9352	99.9333	99.9321	99.9249	99.8967	99.9322	99.9423	99.9499	99.9556	99.9307	99.9273	99.9203	99.9552	99.7606	99.9078	99.9598	99.8544	99.9249	99.9303	99.9714	99.9706	99.8755	99.9338	99.8824	99.923	99.9108	99.8709	99.8786	99.8862	99.9048	99.9439	99.8514	99.958	99.9365	99.9655	99.9323	99.8929	99.8825	99.9123	99.9199	99.9336	99.9271	99.9568	99.9338	99.9353	99.9509	99.8871	99.9296	99.8841	99.9028	99.9034	99.8983	99.9033	99.9047	99.9335	99.9301	99.9308	99.93	99.934	99.9341	99.9647	99.9646	99.9644	99.9632	99.9641	99.9627	99.9089	99.8305	99.9276	99.8938	99.9209	99.828
C196-S_MI-2016-CS-ST222	99.7964	99.7897	99.7927	99.8004	99.785	99.7171	99.8013	99.6675	99.7914	99.7789	99.7974	99.8026	99.7913	99.7837	99.7725	100	99.7797	99.7833	99.7358	99.7427	99.777	99.8275	99.7628	99.7174	99.8316	99.771	99.8057	99.8031	99.8054	99.6194	99.805	99.8061	99.6966	99.7438	99.7324	99.786	99.7926	99.7632	99.7607	99.7114	99.7774	99.7511	99.7928	99.7371	99.7439	99.8345	99.7102	99.7531	99.6925	99.6896	99.7893	99.7099	99.7611	99.79	99.8296	99.7281	99.7168	99.7291	99.7955	99.7752	99.7134	99.7949	99.8364	99.7855	99.8584	99.7272	99.7949	99.7861	99.7852	99.7111	99.7945	99.7356	99.7104	99.7921	99.7872	99.781	99.7786	99.7766	99.7841	99.6372	99.7848	99.759	99.7884	99.8047	99.7696	99.6702	99.7655	99.7892	99.7958	99.7912	99.7798	99.8038	99.8057	99.8034	99.7772	99.7811	99.7155	99.7748	99.7746	99.7732	99.7739	99.7746	99.7947	99.7935	99.7949	99.7949	99.8017	99.8038	99.7883	99.7892	99.7879	99.7889	99.7872	99.786	99.7904	99.7821	99.7798	99.7971	99.796	99.8325
C197-S_CO-2011-CS-ST222	99.9125	99.9176	99.9469	99.9511	99.9655	99.892	99.946	99.9012	99.9205	99.8976	99.9646	99.9941	99.9515	99.9066	99.9108	99.7797	100	99.9069	99.899	99.9036	99.992	99.9182	99.9023	99.8885	99.888	99.9918	99.9661	99.966	99.9171	99.8656	99.9683	99.9698	99.8975	99.8661	99.8631	99.9079	99.9857	99.9372	99.9074	99.8393	99.9429	99.8843	99.9338	99.867	99.8664	99.9439	99.9183	99.9677	99.8612	99.8589	99.9179	99.8639	99.8824	99.9173	99.9436	99.8767	99.8926	99.8904	99.918	99.9583	99.8856	99.828	99.9033	99.9169	99.9163	99.883	99.9163	99.9483	99.9462	99.9084	99.9442	99.8833	99.8759	99.9724	99.9643	99.9207	99.964	99.9692	99.9616	99.8648	99.9151	99.9372	99.9455	99.9185	99.8888	99.8979	99.9317	99.9774	99.9204	99.9152	99.9255	99.9172	99.9675	99.95	99.9629	99.9666	99.8964	99.9112	99.913	99.9102	99.9124	99.91	99.9199	99.9175	99.9177	99.9163	99.9677	99.967	99.9657	99.9657	99.9646	99.961	99.9635	99.9616	99.9321	99.9649	99.9893	99.9614	99.9644	99.9149
C201-S_PA-2013-CS-ST222	99.9947	99.8879	99.8967	99.93	99.9658	99.9197	99.9441	99.8744	99.9634	99.8806	99.9805	99.9344	99.9452	99.996	99.8933	99.7833	99.9069	100	99.8936	99.9479	99.934	99.8784	99.9642	99.8761	99.8144	99.9	99.8445	99.9336	99.9107	99.8568	99.9351	99.9358	99.8573	99.9476	99.9396	99.9976	99.9289	99.99	99.8728	99.9015	99.9126	99.9258	99.9915	99.9417	99.9482	99.8449	99.9118	99.9439	99.9176	99.9125	99.8946	99.8691	99.8601	99.8898	99.9512	99.9562	99.945	99.8954	99.8951	99.8574	99.9414	99.7956	99.8992	99.9667	99.8886	99.8874	99.8953	99.9738	99.974	99.9682	99.8967	99.9716	99.9288	99.9295	99.8296	99.9428	99.7994	99.8924	99.8577	99.853	99.9655	99.9422	99.971	99.8758	99.9029	99.8998	99.8358	99.903	99.8708	99.8927	99.9646	99.878	99.9373	99.9311	99.8773	99.909	99.9183	99.9669	99.9677	99.9649	99.9667	99.9644	99.8939	99.8949	99.8951	99.8947	99.9355	99.9345	99.968	99.9688	99.9681	99.966	99.9668	99.9657	99.9855	99.9031	99.934	99.8231	99.9197	99.8805
C207-S_WI-2013-CS-ST222	99.8869	99.909	99.9299	99.9206	99.9562	99.9145	99.9054	99.8076	99.9286	99.8724	99.944	99.9037	99.8563	99.8759	99.898	99.7358	99.899	99.8936	100	99.9324	99.9023	99.8663	99.956	99.8598	99.8249	99.8564	99.8581	99.9024	99.9444	99.8889	99.9039	99.9049	99.8806	99.9133	99.8843	99.8968	99.9006	99.9413	99.8895	99.8126	99.9125	99.8762	99.8928	99.8862	99.9132	99.8769	99.8936	99.9381	99.9177	99.9151	99.9288	99.9092	99.8939	99.9335	99.9207	99.9242	99.9338	99.9306	99.9295	99.9129	99.9268	99.7412	99.8727	99.9421	99.8424	99.9244	99.929	99.9453	99.9458	99.8611	99.9353	99.8655	99.897	99.9035	99.8242	99.8842	99.8846	99.8424	99.9466	99.7695	99.9404	99.9442	99.9466	99.9483	99.8828	99.8137	99.9337	99.8913	99.938	99.884	99.9348	99.945	99.9027	99.9381	99.8123	99.8975	99.8747	99.886	99.8871	99.8835	99.8854	99.8852	99.9283	99.9297	99.9299	99.9281	99.9015	99.9029	99.956	99.9604	99.9556	99.9556	99.9551	99.9588	99.8935	99.8132	99.9014	99.8909	99.8604	99.8389
C208-S_MA-2013-CS-ST222	99.9559	99.9465	99.9521	99.9646	99.9462	99.8856	99.9516	99.8716	99.9426	99.9367	99.9571	99.9329	99.9533	99.9471	99.9362	99.7427	99.9036	99.9479	99.9324	100	99.9318	99.8598	99.9254	99.884	99.8746	99.9011	99.9206	99.9358	99.959	99.8617	99.9335	99.9342	99.9043	99.9103	99.9011	99.9501	99.9302	99.9548	99.912	99.8894	99.9325	99.9069	99.9515	99.9038	99.91	99.8803	99.9213	99.9192	99.883	99.8804	99.9518	99.9024	99.9178	99.9459	99.9277	99.9215	99.9125	99.8988	99.9515	99.93	99.9055	99.7903	99.855	99.9433	99.8773	99.9199	99.9496	99.9525	99.9518	99.9292	99.9495	99.9316	99.8871	99.9257	99.9057	99.9248	99.9085	99.8882	99.9413	99.8583	99.9418	99.9176	99.9449	99.9551	99.9285	99.9014	99.9191	99.9018	99.9512	99.9489	99.9398	99.9518	99.9321	99.9657	99.907	99.9078	99.9283	99.9277	99.9294	99.9236	99.9284	99.9283	99.9515	99.9498	99.9505	99.9492	99.937	99.9367	99.9432	99.9439	99.9431	99.9419	99.943	99.9419	99.946	99.8928	99.9289	99.9283	99.9239	99.8775
C209-S_MA-2013-CS-ST222	99.909	99.9218	99.9474	99.9545	99.9685	99.8901	99.9439	99.9052	99.92	99.883	99.9658	99.9942	99.9489	99.9105	99.9298	99.777	99.992	99.934	99.9023	99.9318	100	99.9171	99.9015	99.8885	99.872	99.9808	99.9653	99.9677	99.9219	99.8667	99.9686	99.9699	99.8985	99.8627	99.8603	99.9108	99.9858	99.9327	99.9104	99.8371	99.9394	99.886	99.9328	99.8626	99.8625	99.9254	99.917	99.9691	99.8467	99.8438	99.9209	99.8647	99.8866	99.9197	99.9474	99.8728	99.8935	99.8888	99.921	99.9623	99.886	99.8254	99.8991	99.9192	99.9182	99.882	99.9218	99.9499	99.9473	99.9071	99.9298	99.884	99.8757	99.9677	99.9307	99.9161	99.9341	99.9416	99.9641	99.8664	99.9205	99.9418	99.9456	99.9235	99.8889	99.895	99.9338	99.9752	99.916	99.9169	99.923	99.9189	99.9706	99.9554	99.9349	99.9687	99.8898	99.9118	99.9097	99.9054	99.9118	99.9075	99.9192	99.9166	99.9206	99.9176	99.9664	99.9662	99.9645	99.9693	99.9646	99.9673	99.9666	99.9635	99.9304	99.9589	99.99	99.9559	99.9633	99.9125
C210-S_IL-2013-CS-ST222	99.9128	99.8745	99.8796	99.9107	99.942	99.8304	99.9078	99.8311	99.8582	99.8629	99.9323	99.9182	99.8754	99.8812	99.8849	99.8275	99.9182	99.8784	99.8663	99.8598	99.9171	100	99.9116	99.8306	99.937	99.9076	99.9214	99.9182	99.8853	99.7967	99.9208	99.9194	99.8533	99.8329	99.8438	99.8806	99.9422	99.8768	99.8695	99.8122	99.8823	99.8891	99.9089	99.8466	99.8321	99.9637	99.8508	99.9112	99.8282	99.8238	99.8718	99.841	99.8453	99.894	99.9598	99.8359	99.8542	99.8502	99.8773	99.9084	99.8728	99.8754	99.9509	99.8747	99.9645	99.8364	99.8776	99.9185	99.9178	99.8427	99.9028	99.8423	99.8475	99.9162	99.9013	99.9036	99.9415	99.9399	99.945	99.833	99.8727	99.8971	99.9016	99.884	99.8531	99.8782	99.8832	99.9282	99.8784	99.8775	99.8837	99.883	99.9215	99.911	99.9434	99.9467	99.8329	99.9109	99.9128	99.9116	99.9113	99.9096	99.8771	99.8788	99.8767	99.876	99.9181	99.9165	99.9474	99.9474	99.9465	99.9445	99.9467	99.9439	99.9103	99.9467	99.9136	99.918	99.9098	99.9658
C211-S_IL-2014-CS-ST222	99.9938	99.9589	99.959	99.952	99.9895	99.9222	99.9658	99.8206	99.9257	99.9102	99.9775	99.9021	99.9	99.9691	99.9639	99.7628	99.9023	99.9642	99.956	99.9254	99.9015	99.9116	100	99.9472	99.8806	99.8556	99.9288	99.9281	99.986	99.8859	99.9307	99.9302	99.9223	99.9477	99.9123	99.9853	99.9214	99.9436	99.9577	99.8692	99.9611	99.9716	99.9902	99.9152	99.9465	99.8985	99.9469	99.9418	99.943	99.9409	99.9847	99.9817	99.9509	99.9552	99.9169	99.9593	99.95	99.985	99.985	99.9441	99.9705	99.8347	99.9101	99.9835	99.9236	99.9779	99.9849	99.9755	99.9777	99.944	99.9822	99.9731	99.9298	99.9001	99.8822	99.9836	99.9263	99.8847	99.9848	99.8328	99.9799	99.9791	99.9827	99.9906	99.9593	99.862	99.9856	99.9112	99.9846	99.9365	99.9794	99.9882	99.9296	99.9751	99.876	99.9286	99.929	99.9888	99.9916	99.9877	99.9904	99.9911	99.9856	99.9837	99.9854	99.9838	99.9282	99.9275	99.9894	99.9893	99.9881	99.9879	99.989	99.9878	99.9926	99.9285	99.9034	99.9268	99.8849	99.8972
C212-S_IN-2016-CS-ST222	99.873	99.8299	99.8333	99.8499	99.9149	99.9949	99.9105	99.8144	99.9034	99.854	99.9206	99.8629	99.9091	99.8773	99.8566	99.7174	99.8885	99.8761	99.8598	99.884	99.8885	99.8306	99.9472	100	99.7666	99.8757	99.7832	99.8624	99.8456	99.8353	99.8646	99.8625	99.7887	99.9701	99.9669	99.8728	99.8752	99.9487	99.836	99.9313	99.8907	99.8567	99.8905	99.9679	99.9694	99.8192	99.9039	99.9205	99.8934	99.8904	99.8333	99.8307	99.8004	99.8536	99.8989	99.8865	99.9023	99.834	99.8317	99.8128	99.9209	99.7348	99.8389	99.8985	99.8236	99.8473	99.8326	99.9046	99.9042	99.8736	99.8558	99.8493	99.853	99.8662	99.7671	99.876	99.8166	99.8475	99.8683	99.8089	99.8956	99.8958	99.9232	99.8461	99.8628	99.8562	99.8579	99.8628	99.8405	99.8322	99.9158	99.8416	99.862	99.8493	99.8658	99.8879	99.8788	99.899	99.9008	99.8973	99.8999	99.8974	99.8312	99.8347	99.8342	99.8318	99.8614	99.8603	99.9408	99.9422	99.941	99.9401	99.9407	99.9401	99.8988	99.83	99.8892	99.793	99.8473	99.8204
C213-S_PA-2016-CS-ST222	99.8093	99.8809	99.8663	99.8823	99.8998	99.8115	99.8621	99.755	99.8853	99.8845	99.9128	99.8993	99.8239	99.8142	99.8459	99.8316	99.888	99.8144	99.8249	99.8746	99.872	99.937	99.8806	99.7666	100	99.8802	99.8778	99.9147	99.878	99.7684	99.9136	99.9004	99.8031	99.834	99.8245	99.8143	99.8845	99.8341	99.8321	99.7801	99.8284	99.7796	99.8043	99.8302	99.833	99.9442	99.7556	99.8618	99.7649	99.7811	99.8748	99.8041	99.8496	99.8598	99.9392	99.8357	99.8096	99.8045	99.8645	99.8553	99.8216	99.817	99.9418	99.884	99.9175	99.8227	99.865	99.8953	99.8967	99.725	99.8678	99.7506	99.8232	99.9029	99.8736	99.8264	99.8319	99.8698	99.8568	99.7243	99.8991	99.8531	99.8965	99.8605	99.788	99.754	99.8204	99.8957	99.8458	99.861	99.8922	99.8775	99.8986	99.879	99.8302	99.8892	99.7583	99.8008	99.8005	99.7814	99.8002	99.7838	99.8831	99.88	99.8656	99.8656	99.913	99.914	99.8984	99.8988	99.9001	99.8993	99.8981	99.8963	99.8182	99.8096	99.8738	99.8733	99.9034	99.8909
C221-S_CT-2001-CS-ST222	99.899	99.9073	99.9112	99.9517	99.9662	99.8803	99.9313	99.8686	99.9194	99.9018	99.9641	99.9606	99.929	99.8989	99.902	99.771	99.9918	99.9	99.8564	99.9011	99.9808	99.9076	99.8556	99.8757	99.8802	100	99.9648	99.9709	99.9126	99.8375	99.9666	99.9597	99.897	99.8554	99.7857	99.9009	99.9768	99.8876	99.9017	99.8136	99.917	99.8749	99.9235	99.7924	99.8534	99.9343	99.849	99.9607	99.7913	99.7878	99.9121	99.8564	99.8766	99.9117	99.9495	99.8649	99.883	99.8772	99.9126	99.9603	99.8744	99.7804	99.8425	99.9107	99.9044	99.8123	99.8402	99.9408	99.9396	99.8992	99.9276	99.8726	99.8718	99.9668	99.9521	99.9096	99.9031	99.9519	99.9616	99.8513	99.9097	99.9324	99.9388	99.9135	99.8748	99.8823	99.8864	99.9335	99.8494	99.8922	99.9145	99.9126	99.9592	99.9541	99.8918	99.9666	99.8228	99.9023	99.9017	99.8974	99.9011	99.8972	99.9098	99.9089	99.912	99.9113	99.972	99.9693	99.9673	99.9678	99.9671	99.9632	99.9648	99.9626	99.9221	99.9649	99.9841	99.967	99.9567	99.8463
C222-S_OH-2001-CS-ST222	99.8614	99.891	99.8942	99.9545	99.964	99.8539	99.877	99.8594	99.929	99.8278	99.9772	99.9935	99.876	99.8456	99.9104	99.8057	99.9661	99.8445	99.8581	99.9206	99.9653	99.9214	99.9288	99.7832	99.8778	99.9648	100	99.9942	99.9072	99.8438	99.9942	99.9942	99.8791	99.8788	99.8689	99.8444	99.9917	99.9277	99.8979	99.8153	99.875	99.8136	99.8576	99.8722	99.8783	99.9076	99.8131	99.9422	99.862	99.8596	99.8894	99.8418	99.8602	99.8909	99.9498	99.9004	99.8879	99.859	99.8967	99.9043	99.8846	99.7922	99.921	99.9345	99.8743	99.8583	99.8953	99.9754	99.9783	99.8283	99.8948	99.8263	99.9036	99.9925	99.9398	99.8242	99.9261	99.9697	99.9258	99.8417	99.9326	99.9092	99.9344	99.9113	99.8419	99.8867	99.8687	99.975	99.9006	99.8936	99.9275	99.9071	99.9943	99.9547	99.9304	99.968	99.819	99.835	99.8359	99.8345	99.8344	99.8318	99.8924	99.8958	99.8967	99.8944	99.9929	99.9913	99.964	99.9653	99.9643	99.9612	99.9636	99.9616	99.8531	99.885	99.996	99.9518	99.9894	99.862
C223-S_VT-2002-CS-ST222	99.9366	99.9438	99.9453	99.9801	99.9687	99.8631	99.9423	99.8967	99.93	99.9238	99.9809	99.9937	99.9495	99.9337	99.932	99.8031	99.966	99.9336	99.9024	99.9358	99.9677	99.9182	99.9281	99.8624	99.9147	99.9709	99.9942	100	99.9459	99.8413	99.9928	99.9955	99.9199	99.8885	99.8795	99.929	99.9887	99.9098	99.9078	99.8592	99.9128	99.8854	99.9292	99.8822	99.8887	99.9147	99.8931	99.9417	99.8609	99.86	99.9467	99.8668	99.9088	99.9422	99.9199	99.9005	99.8918	99.9136	99.9471	99.9627	99.8872	99.8491	99.9168	99.9462	99.9324	99.8856	99.9456	99.9746	99.9741	99.8841	99.9443	99.9105	99.9056	99.9792	99.9895	99.9179	99.9719	99.9692	99.9645	99.8667	99.9429	99.9171	99.9461	99.948	99.9079	99.8941	99.9056	99.9751	99.9469	99.9422	99.9355	99.9471	99.9926	99.9808	99.9714	99.9703	99.9017	99.9114	99.9112	99.906	99.9102	99.9109	99.9464	99.9455	99.9471	99.9465	99.998	99.9974	99.969	99.9699	99.9689	99.9666	99.9684	99.967	99.93	99.9661	99.9694	99.993	99.9941	99.9155
C224-S_OH-2002-CS-ST222	99.9163	99.9972	99.994	99.944	99.9668	99.9117	99.9308	99.8793	99.9751	99.9014	99.9815	99.9499	99.9576	99.9113	99.9479	99.8054	99.9171	99.9107	99.9444	99.959	99.9219	99.8853	99.986	99.8456	99.878	99.9126	99.9072	99.9459	100	99.907	99.9485	99.9515	99.949	99.9402	99.9299	99.9205	99.9392	99.9902	99.924	99.8883	99.9214	99.9003	99.9147	99.9334	99.9397	99.9269	99.9089	99.942	99.936	99.9323	99.9962	99.9675	99.9606	99.9908	99.9535	99.9754	99.9624	99.9946	99.9949	99.9148	99.9591	99.7945	99.921	99.9906	99.8827	99.9855	99.9934	99.9734	99.9738	99.9065	99.9933	99.9068	99.926	99.9412	99.9427	99.9088	99.8982	99.911	99.945	99.8736	99.9901	99.9663	99.9929	99.9718	99.8958	99.9069	99.9447	99.9252	99.9716	99.9901	99.986	99.9701	99.9475	99.9466	99.8866	99.923	99.9147	99.8906	99.8894	99.8884	99.8896	99.891	99.9954	99.9941	99.9955	99.9945	99.9479	99.9484	99.9682	99.9695	99.968	99.9667	99.9682	99.9662	99.9068	99.8395	99.9459	99.9211	99.9355	99.8838
